TF,Target,Correlation
GPAM,PLIN1,0.7551681957664862
PCDH7,LINC02388,0.7512383764744354
TMEM52,CLDN9,0.7347509538461005
ADIPOQ,PLIN1,0.7210295520219351
GPD1,PLIN1,0.6969495676631278
ANO2,VWF,0.6877953454106183
PLIN1,PFKFB1,0.6818344066410043
LOC124901051,LINC02388,0.6813233379545336
CAMTA1-AS3,OR2AG1,0.6802163285463378
NRG1,LINC02388,0.6786272420189223
PCDH7,LOC124901051,0.6785343439098119
ADIPOQ,GPAM,0.6783677129245554
PLIN1,GYG2,0.6731119101063925
SLC19A3,PLIN1,0.6729367028878966
MLXIPL,PLIN1,0.6688426900121439
PLIN1,CIDEA,0.6653958141478458
ADAMTSL1,LINC02388,0.6637223139513547
TRHDE-AS1,PLIN1,0.6613389563526046
MYRIP,LOC124901051,0.6605831644927286
GPAM,GPD1,0.6526220705666348
LINC02607,PLIN1,0.6517875653825835
PRG4,ANXA8,0.6517765477345453
PCDH7,ADAMTSL1,0.6514353567985967
PCDH7,NRG1,0.6468038390619346
LVRN,PLIN1,0.6396596048222136
LOC124901051,POSTN,0.6393334735176973
ADIPOQ,GYG2,0.6388368899331629
GPAM,PFKFB1,0.6356983521857728
MLXIPL,GPAM,0.6356757446349953
NRG1,ADAMTSL1,0.6356434692233106
ANXA8,BNC1,0.6335804449116729
SLC19A3,GPAM,0.6335601215020383
LINC02348,CD300LD-AS1,0.6327358803352234
BNC2,ANXA8,0.6257439833032556
GPAM,CIDEA,0.6256395598114178
DPP6,ANXA8,0.6249584447942982
GPAM,GYG2,0.6239167585931604
PRG4,BNC2,0.6231511194504786
PRG4,C3,0.6219918983250962
KCNQ1-AS1,CLEC4G,0.6214997646647604
SLC19A3,ADIPOQ,0.6210982630770835
SLC4A4,ANXA8,0.6206686376178544
ADIPOQ,PFKFB1,0.6201339055176049
KCNT2,CFH,0.6187995876048158
BNC2,C3,0.6170762848503255
GPAM,TRHDE-AS1,0.6160231029549017
PCDH7,PCDH15,0.6153059046143305
PLIN1,PLIN4,0.6132280763244988
PRG4,SLC4A4,0.6131458193606394
PRG4,DPP6,0.6122918908955713
BNC2,CDON,0.6114329371863659
TAGLN3,OXGR1,0.611383051503809
PCDH7,NPR3,0.6097109558767988
PCDH15,LINC02388,0.609605471142425
ANXA8,RBFOX1,0.609469228301302
LINC02607,ADIPOQ,0.608255514048336
PLIN1,TRARG1,0.6077486594626195
LINC02607,GPAM,0.6074033558791254
